time,temperature_c,irradiance_w_m2
2024-06-15T00:00:00,12.0,0.0
2024-06-15T01:00:00,11.5,0.0
2024-06-15T02:00:00,11.0,0.0
2024-06-15T03:00:00,10.8,0.0
2024-06-15T04:00:00,10.5,0.0
2024-06-15T05:00:00,11.0,20.0
2024-06-15T06:00:00,12.5,120.0
2024-06-15T07:00:00,14.0,280.0
2024-06-15T08:00:00,16.0,450.0
2024-06-15T09:00:00,18.0,620.0
2024-06-15T10:00:00,20.0,780.0
2024-06-15T11:00:00,22.0,900.0
2024-06-15T12:00:00,24.0,980.0
2024-06-15T13:00:00,25.0,950.0
2024-06-15T14:00:00,25.5,860.0
2024-06-15T15:00:00,25.0,720.0
2024-06-15T16:00:00,24.0,540.0
2024-06-15T17:00:00,22.0,350.0
2024-06-15T18:00:00,20.0,180.0
2024-06-15T19:00:00,18.0,50.0
2024-06-15T20:00:00,16.0,0.0
2024-06-15T21:00:00,15.0,0.0
2024-06-15T22:00:00,14.0,0.0
2024-06-15T23:00:00,13.0,0.0
