Date,PUN,CALA,CNOR,CSUD,NORD,SARD,SICI,SUD
01/01/2023 00:00,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09
01/01/2023 01:00,104.00,104.00,104.00,104.00,104.00,104.00,104.00,104.00
01/01/2023 02:00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
01/01/2023 03:00,85.66,85.66,85.66,85.66,85.66,85.66,85.66,85.66
01/01/2023 04:00,85.00,85.00,85.00,85.00,85.00,85.00,85.00,85.00
01/01/2023 05:00,85.53,85.53,85.53,85.53,85.53,85.53,85.53,85.53
01/01/2023 06:00,95.07,95.07,95.07,95.07,95.07,95.07,95.07,95.07
01/01/2023 07:00,104.07,104.07,104.07,104.07,104.07,104.07,104.07,104.07
01/01/2023 08:00,106.95,106.95,106.95,106.95,106.95,106.95,106.95,106.95
01/01/2023 09:00,107.08,107.08,107.08,107.08,107.08,107.08,107.08,107.08
01/01/2023 10:00,104.00,104.00,104.00,104.00,104.00,104.00,104.00,104.00
01/01/2023 11:00,98.13,98.13,98.13,98.13,98.13,98.13,98.13,98.13
01/01/2023 12:00,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55
01/01/2023 13:00,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16
01/01/2023 14:00,98.17,98.17,98.17,98.17,98.17,98.17,98.17,98.17
01/01/2023 15:00,105.54,105.54,105.54,105.54,105.54,105.54,105.54,105.54
01/01/2023 16:00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
01/01/2023 17:00,120.04,120.04,120.04,120.04,120.04,120.04,120.04,120.04
01/01/2023 18:00,131.50,131.50,131.50,131.50,131.50,131.50,131.50,131.50
01/01/2023 19:00,132.00,132.00,132.00,132.00,132.00,132.00,132.00,132.00
01/01/2023 20:00,127.75,127.75,127.75,127.75,127.75,127.75,127.75,127.75
01/01/2023 21:00,113.48,113.48,113.48,113.48,113.48,113.48,113.48,113.48
01/01/2023 22:00,109.18,109.18,109.18,109.18,109.18,109.18,109.18,109.18
01/01/2023 23:00,107.20,107.20,107.20,107.20,107.20,107.20,107.20,107.20
02/01/2023 00:00,105.49,105.49,105.49,105.49,105.49,105.49,105.49,105.49
02/01/2023 01:00,90.09,90.09,90.09,90.09,90.09,90.09,90.09,90.09
02/01/2023 02:00,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27
02/01/2023 03:00,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27
02/01/2023 04:00,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27
02/01/2023 05:00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
02/01/2023 06:00,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28
02/01/2023 07:00,113.85,113.85,113.85,113.85,113.85,113.85,113.85,113.85
02/01/2023 08:00,126.90,126.90,126.90,126.90,126.90,126.90,126.90,126.90
02/01/2023 09:00,119.50,119.50,119.50,119.50,119.50,119.50,119.50,119.50
02/01/2023 10:00,110.60,110.60,110.60,110.60,110.60,110.60,110.60,110.60
02/01/2023 11:00,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28
02/01/2023 12:00,105.88,105.88,105.88,105.88,105.88,105.88,105.88,105.88
02/01/2023 13:00,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15
02/01/2023 14:00,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28
02/01/2023 15:00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
02/01/2023 16:00,112.80,112.80,112.80,112.80,112.80,112.80,112.80,112.80
02/01/2023 17:00,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99
02/01/2023 18:00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00
02/01/2023 19:00,124.29,124.29,124.29,124.29,124.29,124.29,124.29,124.29
02/01/2023 20:00,111.26,111.26,111.26,111.26,111.26,111.26,111.26,111.26
02/01/2023 21:00,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28
02/01/2023 22:00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00
02/01/2023 23:00,92.41,92.41,92.41,92.41,92.41,92.41,92.41,92.41
03/01/2023 00:00,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50
03/01/2023 01:00,70.10,70.10,70.10,70.10,70.10,70.10,70.10,70.10
03/01/2023 02:00,50.10,50.21,50.21,50.21,50.21,50.21,50.21,50.21
03/01/2023 03:00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
03/01/2023 04:00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
03/01/2023 05:00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
03/01/2023 06:00,95.46,95.46,95.46,95.46,95.46,95.46,95.46,95.46
03/01/2023 07:00,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28
03/01/2023 08:00,115.53,111.80,115.53,115.53,115.53,115.53,111.80,111.80
03/01/2023 09:00,110.00,103.58,114.99,114.99,114.99,114.99,103.58,103.58
03/01/2023 10:00,106.43,99.15,109.30,109.30,109.30,109.30,99.15,99.15
03/01/2023 11:00,100.81,87.25,108.01,108.01,108.01,108.01,87.25,87.25
03/01/2023 12:00,92.50,75.33,94.96,94.96,94.96,94.96,75.33,75.33
03/01/2023 13:00,89.00,86.97,92.40,92.40,92.40,92.40,86.97,86.97
03/01/2023 14:00,97.15,97.15,97.57,97.57,97.57,97.57,97.15,97.15
03/01/2023 15:00,104.79,101.46,106.81,106.81,106.81,106.81,101.46,101.46
03/01/2023 16:00,109.83,108.28,110.00,110.00,110.00,110.00,108.28,108.28
03/01/2023 17:00,115.81,115.81,115.81,115.81,115.81,115.81,115.81,115.81
03/01/2023 18:00,115.81,115.81,115.81,115.81,115.81,115.81,115.81,115.81
03/01/2023 19:00,115.81,115.81,115.81,115.81,115.81,115.81,115.81,115.81
03/01/2023 20:00,109.00,109.00,109.00,109.00,109.00,109.00,109.00,109.00
03/01/2023 21:00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00
03/01/2023 22:00,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46
03/01/2023 23:00,82.59,82.59,82.59,82.59,82.59,82.59,82.59,82.59
04/01/2023 00:00,74.19,74.19,74.19,74.19,74.19,74.19,74.19,74.19
04/01/2023 01:00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
04/01/2023 02:00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
04/01/2023 03:00,33.80,35.20,35.20,35.20,35.20,35.20,35.20,35.20
04/01/2023 04:00,49.39,49.39,49.39,49.39,49.39,49.39,49.39,49.39
04/01/2023 05:00,70.10,70.10,70.10,70.10,70.10,70.10,70.10,70.10
04/01/2023 06:00,97.61,97.61,97.61,97.61,97.61,97.61,97.61,97.61
04/01/2023 07:00,106.51,106.51,106.51,106.51,106.51,106.51,106.51,106.51
04/01/2023 08:00,109.00,106.51,110.00,110.00,110.00,110.00,106.51,106.51
04/01/2023 09:00,106.51,100.46,108.38,108.38,108.38,108.38,100.46,100.46
04/01/2023 10:00,91.46,73.83,97.83,97.83,97.83,97.83,73.83,73.83
04/01/2023 11:00,84.00,70.10,89.95,89.95,89.95,89.95,70.10,70.10
04/01/2023 12:00,82.00,70.10,86.21,86.21,86.21,86.21,70.10,70.10
04/01/2023 13:00,87.30,85.96,85.96,85.96,85.96,85.96,85.96,85.96
04/01/2023 14:00,92.00,92.11,92.11,92.11,92.11,92.11,92.11,92.11
04/01/2023 15:00,103.34,103.34,103.34,103.34,103.34,103.34,103.34,103.34
04/01/2023 16:00,110.02,110.02,110.02,110.02,110.02,110.02,110.02,110.02
04/01/2023 17:00,116.87,116.87,116.87,116.87,116.87,116.87,116.87,116.87
04/01/2023 18:00,118.10,118.10,118.10,118.10,118.10,118.10,118.10,118.10
04/01/2023 19:00,118.10,118.10,118.10,118.10,118.10,118.10,118.10,118.10
04/01/2023 20:00,112.99,112.99,112.99,112.99,112.99,112.99,112.99,112.99
04/01/2023 21:00,107.05,107.05,107.05,107.05,107.05,107.05,107.05,107.05
04/01/2023 22:00,105.59,105.59,105.59,105.59,105.59,105.59,105.59,105.59
04/01/2023 23:00,97.98,97.98,97.98,97.98,97.98,97.98,97.98,97.98
05/01/2023 00:00,85.86,86.08,86.08,86.08,86.08,86.08,86.08,86.08
05/01/2023 01:00,88.96,88.96,88.96,88.96,88.96,88.96,88.96,88.96
05/01/2023 02:00,78.50,78.50,78.50,78.50,78.50,78.50,78.50,78.50
05/01/2023 03:00,78.50,78.50,78.50,78.50,78.50,78.50,78.50,78.50
05/01/2023 04:00,79.39,79.39,79.39,79.39,79.39,79.39,79.39,79.39
05/01/2023 05:00,79.60,79.60,79.60,79.60,79.60,79.60,79.60,79.60
05/01/2023 06:00,103.46,103.46,103.46,103.46,103.46,103.46,103.46,103.46
05/01/2023 07:00,111.19,111.19,111.19,111.19,111.19,111.19,111.19,111.19
