Mese,Regione,Classe potenza,Working day,Ora,Prelievo medio Orario Regionale (kWh)
1,Abruzzo,0<P<=1.5,Giorno feriale,0,0.0529
1,Abruzzo,0<P<=1.5,Giorno feriale,1,0.0475
1,Abruzzo,0<P<=1.5,Giorno feriale,2,0.0423
1,Abruzzo,0<P<=1.5,Giorno feriale,3,0.0399
1,Abruzzo,0<P<=1.5,Giorno feriale,4,0.039
1,Abruzzo,0<P<=1.5,Giorno feriale,5,0.0414
1,Abruzzo,0<P<=1.5,Giorno feriale,6,0.0482
1,Abruzzo,0<P<=1.5,Giorno feriale,7,0.0603
1,Abruzzo,0<P<=1.5,Giorno feriale,8,0.0636
1,Abruzzo,0<P<=1.5,Giorno feriale,9,0.0639
1,Abruzzo,0<P<=1.5,Giorno feriale,10,0.0629
1,Abruzzo,0<P<=1.5,Giorno feriale,11,0.0645
1,Abruzzo,0<P<=1.5,Giorno feriale,12,0.0666
1,Abruzzo,0<P<=1.5,Giorno feriale,13,0.0665
1,Abruzzo,0<P<=1.5,Giorno feriale,14,0.0667
1,Abruzzo,0<P<=1.5,Giorno feriale,15,0.0667
1,Abruzzo,0<P<=1.5,Giorno feriale,16,0.0696
1,Abruzzo,0<P<=1.5,Giorno feriale,17,0.0761
1,Abruzzo,0<P<=1.5,Giorno feriale,18,0.0798
1,Abruzzo,0<P<=1.5,Giorno feriale,19,0.0837
1,Abruzzo,0<P<=1.5,Giorno feriale,20,0.0844
1,Abruzzo,0<P<=1.5,Giorno feriale,21,0.0786
1,Abruzzo,0<P<=1.5,Giorno feriale,22,0.0693
1,Abruzzo,0<P<=1.5,Giorno feriale,23,0.0608
1,Abruzzo,0<P<=1.5,Sabato,0,0.0513
1,Abruzzo,0<P<=1.5,Sabato,1,0.0488
1,Abruzzo,0<P<=1.5,Sabato,2,0.0424
1,Abruzzo,0<P<=1.5,Sabato,3,0.0405
1,Abruzzo,0<P<=1.5,Sabato,4,0.0397
1,Abruzzo,0<P<=1.5,Sabato,5,0.0425
1,Abruzzo,0<P<=1.5,Sabato,6,0.0466
1,Abruzzo,0<P<=1.5,Sabato,7,0.0596
1,Abruzzo,0<P<=1.5,Sabato,8,0.067
1,Abruzzo,0<P<=1.5,Sabato,9,0.0665
1,Abruzzo,0<P<=1.5,Sabato,10,0.0673
1,Abruzzo,0<P<=1.5,Sabato,11,0.0716
1,Abruzzo,0<P<=1.5,Sabato,12,0.0718
1,Abruzzo,0<P<=1.5,Sabato,13,0.071
1,Abruzzo,0<P<=1.5,Sabato,14,0.0703
1,Abruzzo,0<P<=1.5,Sabato,15,0.07
1,Abruzzo,0<P<=1.5,Sabato,16,0.0714
1,Abruzzo,0<P<=1.5,Sabato,17,0.0784
1,Abruzzo,0<P<=1.5,Sabato,18,0.0832
1,Abruzzo,0<P<=1.5,Sabato,19,0.0821
1,Abruzzo,0<P<=1.5,Sabato,20,0.0813
1,Abruzzo,0<P<=1.5,Sabato,21,0.076
1,Abruzzo,0<P<=1.5,Sabato,22,0.0716
1,Abruzzo,0<P<=1.5,Sabato,23,0.0625
1,Abruzzo,0<P<=1.5,Domenica,0,0.0546
1,Abruzzo,0<P<=1.5,Domenica,1,0.0483
1,Abruzzo,0<P<=1.5,Domenica,2,0.0431
1,Abruzzo,0<P<=1.5,Domenica,3,0.0403
1,Abruzzo,0<P<=1.5,Domenica,4,0.041
1,Abruzzo,0<P<=1.5,Domenica,5,0.0427
1,Abruzzo,0<P<=1.5,Domenica,6,0.0445
1,Abruzzo,0<P<=1.5,Domenica,7,0.0526
1,Abruzzo,0<P<=1.5,Domenica,8,0.0612
1,Abruzzo,0<P<=1.5,Domenica,9,0.0655
1,Abruzzo,0<P<=1.5,Domenica,10,0.0705
1,Abruzzo,0<P<=1.5,Domenica,11,0.0738
1,Abruzzo,0<P<=1.5,Domenica,12,0.0715
1,Abruzzo,0<P<=1.5,Domenica,13,0.0682
1,Abruzzo,0<P<=1.5,Domenica,14,0.0698
1,Abruzzo,0<P<=1.5,Domenica,15,0.0692
1,Abruzzo,0<P<=1.5,Domenica,16,0.0726
1,Abruzzo,0<P<=1.5,Domenica,17,0.0809
1,Abruzzo,0<P<=1.5,Domenica,18,0.0796
1,Abruzzo,0<P<=1.5,Domenica,19,0.0794
1,Abruzzo,0<P<=1.5,Domenica,20,0.078
1,Abruzzo,0<P<=1.5,Domenica,21,0.0741
1,Abruzzo,0<P<=1.5,Domenica,22,0.0669
