Hour,Lav,Sab,Dom
00:00,3,3,3
00:15,3,3,3
00:30,3,3,3
00:45,3,3,3
01:00,3,3,3
01:15,3,3,3
01:30,3,3,3
01:45,3,3,3
02:00,3,3,3
02:15,3,3,3
02:30,3,3,3
02:45,3,3,3
03:00,3,3,3
03:15,3,3,3
03:30,3,3,3
03:45,3,3,3
04:00,3,3,3
04:15,3,3,3
04:30,3,3,3
04:45,3,3,3
05:00,3,3,3
05:15,3,3,3
05:30,3,3,3
05:45,3,3,3
06:00,3,3,3
06:15,3,3,3
06:30,3,3,3
06:45,3,3,3
07:00,3,3,3
07:15,2,2,3
07:30,2,2,3
07:45,2,2,3
08:00,2,2,3
08:15,1,2,3
08:30,1,2,3
08:45,1,2,3
09:00,1,2,3
09:15,1,2,3
09:30,1,2,3
09:45,1,2,3
10:00,1,2,3
10:15,1,2,3
10:30,1,2,3
10:45,1,2,3
11:00,1,2,3
11:15,1,2,3
11:30,1,2,3
11:45,1,2,3
12:00,1,2,3
12:15,1,2,3
12:30,1,2,3
12:45,1,2,3
13:00,1,2,3
13:15,1,2,3
13:30,1,2,3
13:45,1,2,3
14:00,1,2,3
14:15,1,2,3
14:30,1,2,3
14:45,1,2,3
15:00,1,2,3
15:15,1,2,3
15:30,1,2,3
15:45,1,2,3
16:00,1,2,3
16:15,1,2,3
16:30,1,2,3
16:45,1,2,3
17:00,1,2,3
17:15,1,2,3
17:30,1,2,3
17:45,1,2,3
18:00,1,2,3
18:15,2,2,3
18:30,2,2,3
18:45,2,2,3
19:00,2,2,3
19:15,2,2,3
19:30,2,2,3
19:45,2,2,3
20:00,2,2,3
20:15,2,2,3
20:30,2,2,3
20:45,2,2,3
21:00,2,2,3
21:15,2,2,3
21:30,2,2,3
21:45,2,2,3
22:00,2,2,3
22:15,3,3,3
22:30,3,3,3
22:45,3,3,3
23:00,3,3,3
23:15,3,3,3
23:30,3,3,3
23:45,3,3,3
