epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3072,0.40886,3.11914,1.13966,0.00695,0.98333,0.25596,0.24062,0.38515,3.37312,0.81222,0.000325758,0.000325758,0.000325758
2,18.6808,0.23491,2.28218,0.97298,0.51542,0.52739,0.48593,0.35109,0.65839,2.13892,1.19168,0.000652566,0.000652566,0.000652566
3,26.9677,0.23549,1.67993,0.95457,0.35747,0.63933,0.54815,0.37075,0.6616,2.55419,1.03804,0.000972774,0.000972774,0.000972774
4,36.0427,0.23457,1.49799,0.95659,0.58735,0.4331,0.44765,0.39587,0.41158,2.05128,0.79294,0.0009703,0.0009703,0.0009703
5,45.0254,0.21459,1.4006,0.95724,0.75319,0.47763,0.60637,0.55643,0.31967,1.59471,0.70521,0.0009604,0.0009604,0.0009604
6,53.4692,0.19831,1.2351,0.94223,0.72391,0.4981,0.55166,0.36989,0.84813,2.20263,1.07206,0.0009505,0.0009505,0.0009505
7,61.9968,0.19672,1.14701,0.93714,0.49448,0.61952,0.63621,0.51443,0.62834,2.14936,1.01684,0.0009406,0.0009406,0.0009406
8,70.8117,0.1869,1.10018,0.92516,0.4077,0.66151,0.577,0.4281,0.41708,1.96205,0.79792,0.0009307,0.0009307,0.0009307
9,79.4172,0.17669,1.03267,0.92882,0.67711,0.56921,0.66222,0.54336,0.50976,1.52991,0.91477,0.0009208,0.0009208,0.0009208
10,87.9133,0.17303,0.96982,0.91661,0.77409,0.55244,0.60294,0.55523,0.36035,1.7143,0.75263,0.0009109,0.0009109,0.0009109
11,96.7919,0.16614,0.94647,0.91146,0.71994,0.71384,0.78192,0.7048,0.40226,1.51253,0.75363,0.000901,0.000901,0.000901
12,105.605,0.15874,0.94462,0.91182,0.73167,0.61561,0.73507,0.70372,0.24091,1.23393,0.62921,0.0008911,0.0008911,0.0008911
13,114.291,0.15649,0.85464,0.91535,0.82426,0.6618,0.7649,0.69494,0.27814,1.05541,0.63791,0.0008812,0.0008812,0.0008812
14,123.426,0.14816,0.80022,0.91221,0.81447,0.70456,0.81286,0.80419,0.23317,0.89515,0.62347,0.0008713,0.0008713,0.0008713
15,132.281,0.13643,0.79736,0.90912,0.7665,0.78748,0.85205,0.81464,0.32925,0.75149,0.67048,0.0008614,0.0008614,0.0008614
16,142.411,0.14371,0.76531,0.91369,0.75447,0.76583,0.82003,0.81452,0.20606,0.74755,0.5812,0.0008515,0.0008515,0.0008515
17,154.054,0.13997,0.7488,0.90601,0.72145,0.65012,0.79186,0.73618,0.31777,1.17868,0.67748,0.0008416,0.0008416,0.0008416
18,165.488,0.13418,0.72071,0.89113,0.75905,0.82697,0.84839,0.82312,0.30119,1.04215,0.69799,0.0008317,0.0008317,0.0008317
19,176.54,0.12927,0.71545,0.9002,0.87673,0.80278,0.88757,0.87597,0.20596,0.67959,0.59104,0.0008218,0.0008218,0.0008218
20,188.302,0.12635,0.6669,0.89492,0.62542,0.82935,0.8131,0.78253,0.2407,0.80108,0.61868,0.0008119,0.0008119,0.0008119
21,200.337,0.12865,0.68956,0.9019,0.79716,0.71866,0.81867,0.76722,0.3114,0.96587,0.67447,0.000802,0.000802,0.000802
22,211.879,0.11917,0.65679,0.89688,0.74506,0.71586,0.78058,0.76497,0.27339,0.92627,0.65683,0.0007921,0.0007921,0.0007921
23,223.417,0.13686,0.63819,0.90955,0.77677,0.74793,0.82159,0.79229,0.23362,1.37983,0.61262,0.0007822,0.0007822,0.0007822
24,234.606,0.1239,0.61927,0.90157,0.8683,0.77023,0.85493,0.846,0.18309,0.725,0.55097,0.0007723,0.0007723,0.0007723
25,245.979,0.12073,0.58981,0.89119,0.71669,0.70578,0.7404,0.66041,0.34396,1.26929,0.69355,0.0007624,0.0007624,0.0007624
26,257.45,0.12089,0.66007,0.88661,0.74328,0.86403,0.83646,0.81782,0.28785,0.75528,0.70314,0.0007525,0.0007525,0.0007525
27,268.851,0.11746,0.59886,0.89986,0.86935,0.79353,0.89471,0.85514,0.28872,0.76669,0.66789,0.0007426,0.0007426,0.0007426
28,280.788,0.1178,0.59942,0.8991,0.7908,0.84,0.86986,0.82997,0.22136,0.74793,0.61356,0.0007327,0.0007327,0.0007327
